Time_Mid,Altitude_m_MSL,Ozone_ppbv
79581.0,234.1,0.0
79582.0,234.1,40.7
79583.0,234.2,41.06
79584.0,234.3,41.42
79585.0,234.4,41.78
79586.0,234.6,42.14
79587.0,234.6,42.34
79588.0,234.8,42.38
79589.0,235.0,42.26
79590.0,235.0,42.14
79591.0,235.0,42.02
79592.0,235.1,41.9
79593.0,235.2,41.78
79594.0,235.2,41.66
79595.0,235.2,41.54
79596.0,235.3,41.42
79597.0,235.3,41.38
79598.0,235.3,41.42
79599.0,235.4,41.54
79600.0,235.4,41.66
79602.0,235.5,41.86
79603.0,235.6,41.98
79604.0,235.6,42.14
79606.0,235.6,42.34
79607.0,235.6,42.5
79608.0,235.6,42.81
79610.0,235.6,43.04
79611.0,235.7,43.34
79612.0,235.6,43.65
79613.0,235.6,43.88
79614.0,235.6,44.11
79615.0,235.6,44.34
79616.0,235.7,44.57
79618.0,235.8,43.78
79620.0,235.7,40.72
79621.0,235.8,38.17
79622.0,235.8,37.15
79623.0,236.0,35.62
79624.0,235.9,34.09
79625.0,235.9,32.56
79626.0,234.7,0.0
79628.0,234.6,0.0
79630.0,234.6,31.69
79631.0,234.3,33.05
79633.0,233.6,33.87
79634.0,233.4,34.97
79635.0,233.1,36.06
79636.0,233.0,36.88
79637.0,232.9,37.27
79638.0,232.7,37.23
79639.0,232.7,36.76
79640.0,232.8,36.29
79641.0,232.7,35.82
79642.0,232.5,35.35
79643.0,232.5,34.88
79644.0,232.5,34.41
79645.0,232.5,33.94
79647.0,232.4,34.06
79648.0,232.4,35.41
79650.0,232.2,39.0
79651.0,232.1,41.25
79652.0,232.0,44.25
79653.0,232.2,47.25
79654.0,232.2,48.75
79655.0,232.0,51.0
79656.0,232.0,0.0
79657.0,232.1,0.0
79658.0,233.1,0.0
79659.0,234.0,52.18
79660.0,234.4,50.52
79661.0,234.7,48.86
79662.0,235.6,47.2
79663.0,238.2,45.54
79664.0,242.7,43.88
79666.0,246.8,41.67
79668.0,249.7,39.37
79669.0,251.7,40.56
79671.0,253.5,41.27
79673.0,259.4,42.92
79675.0,264.3,43.87
79677.0,277.1,45.41
79678.0,281.8,45.41
79679.0,286.3,45.3
79680.0,289.8,44.95
79682.0,296.9,44.37
79683.0,297.7,44.02
79684.0,298.6,43.55
79685.0,299.2,43.2
79686.0,300.7,42.85
79688.0,305.4,42.65
79689.0,306.4,42.88
79690.0,308.2,43.19
